,date,time_passed,SumofNewI,SumofNewY
0,2020-01-01,0,71.0,53.0
1,2020-01-02,1,61.0,39.0
2,2020-01-03,2,52.0,39.0
3,2020-01-04,3,130.0,44.0
4,2020-01-05,4,91.0,30.0
5,2020-01-06,5,69.0,27.0
6,2020-01-07,6,25.0,12.0
7,2020-01-08,7,20.0,11.0
8,2020-01-09,8,9.0,7.0
9,2020-01-10,9,17.0,15.0
10,2020-01-11,10,15.0,8.0
11,2020-01-12,11,18.0,11.0
12,2020-01-13,12,12.0,9.0
13,2020-01-14,13,41.0,6.0
14,2020-01-15,14,16.0,14.0
15,2020-01-16,15,8.0,6.0
16,2020-01-17,16,13.0,12.0
17,2020-01-18,17,14.0,8.0
18,2020-01-19,18,11.0,8.0
19,2020-01-20,19,10.0,6.0
20,2020-01-21,20,52.0,14.0
21,2020-01-22,21,18.0,15.0
22,2020-01-23,22,19.0,15.0
23,2020-01-24,23,11.0,9.0
24,2020-01-25,24,15.0,10.0
25,2020-01-26,25,16.0,12.0
26,2020-01-27,26,22.0,19.0
27,2020-01-28,27,20.0,16.0
28,2020-01-29,28,8.0,7.0
29,2020-01-30,29,27.0,25.0
30,2020-01-31,30,19.0,15.0
31,2020-02-01,31,30.0,23.0
32,2020-02-02,32,11.0,8.0
33,2020-02-03,33,9.0,6.0
34,2020-02-04,34,52.0,5.0
35,2020-02-05,35,4.0,2.0
36,2020-02-06,36,14.0,9.0
37,2020-02-07,37,16.0,8.0
38,2020-02-08,38,9.0,4.0
39,2020-02-09,39,9.0,5.0
40,2020-02-10,40,20.0,13.0
41,2020-02-11,41,32.0,6.0
42,2020-02-12,42,6.0,6.0
43,2020-02-13,43,7.0,6.0
44,2020-02-14,44,12.0,9.0
45,2020-02-15,45,19.0,17.0
46,2020-02-16,46,11.0,9.0
47,2020-02-17,47,16.0,16.0
48,2020-02-18,48,43.0,6.0
49,2020-02-19,49,9.0,5.0
50,2020-02-20,50,14.0,11.0
51,2020-02-21,51,17.0,12.0
52,2020-02-22,52,14.0,14.0
53,2020-02-23,53,22.0,18.0
54,2020-02-24,54,34.0,29.0
55,2020-02-25,55,52.0,18.0
56,2020-02-26,56,48.0,42.0
57,2020-02-27,57,41.0,37.0
58,2020-02-28,58,51.0,49.0
59,2020-02-29,59,37.0,30.0
60,2020-03-01,60,136.0,132.0
61,2020-03-02,61,105.0,97.0
62,2020-03-03,62,129.0,100.0
63,2020-03-04,63,120.0,109.0
64,2020-03-05,64,126.0,114.0
65,2020-03-06,65,150.0,131.0
66,2020-03-07,66,166.0,148.0
67,2020-03-08,67,220.0,205.0
68,2020-03-09,68,437.0,410.0
69,2020-03-10,69,570.0,505.0
70,2020-03-11,70,680.0,594.0
71,2020-03-12,71,821.0,697.0
72,2020-03-13,72,1169.0,935.0
73,2020-03-14,73,1180.0,957.0
74,2020-03-15,74,1702.0,1385.0
75,2020-03-16,75,2523.0,1863.0
76,2020-03-17,76,2613.0,1782.0
77,2020-03-18,77,2904.0,1844.0
78,2020-03-19,78,2887.0,1591.0
79,2020-03-20,79,3125.0,1876.0
80,2020-03-21,80,2218.0,1434.0
81,2020-03-22,81,2149.0,1402.0
82,2020-03-23,82,3394.0,2181.0
83,2020-03-24,83,3130.0,1769.0
84,2020-03-25,84,3527.0,1972.0
85,2020-03-26,85,3345.0,1754.0
86,2020-03-27,86,3435.0,1810.0
87,2020-03-28,87,2933.0,1711.0
88,2020-03-29,88,2784.0,1680.0
89,2020-03-30,89,4359.0,2363.0
90,2020-03-31,90,3711.0,1914.0
91,2020-04-01,91,4591.0,2655.0
92,2020-04-02,92,3859.0,1800.0
93,2020-04-03,93,4096.0,1980.0
94,2020-04-04,94,3335.0,1829.0
95,2020-04-05,95,3200.0,1826.0
96,2020-04-06,96,4807.0,2378.0
97,2020-04-07,97,4578.0,1942.0
98,2020-04-08,98,4560.0,2114.0
99,2020-04-09,99,4022.0,1913.0
100,2020-04-10,100,4258.0,2315.0
101,2020-04-11,101,3321.0,1755.0
102,2020-04-12,102,3142.0,2033.0
103,2020-04-13,103,4124.0,2620.0
104,2020-04-14,104,4501.0,2321.0
105,2020-04-15,105,5108.0,2640.0
106,2020-04-16,106,4383.0,2176.0
107,2020-04-17,107,4716.0,2515.0
108,2020-04-18,108,3606.0,2286.0
109,2020-04-19,109,3611.0,2249.0
110,2020-04-20,110,5989.0,3478.0
111,2020-04-21,111,4986.0,2580.0
112,2020-04-22,112,5323.0,2731.0
113,2020-04-23,113,4856.0,2533.0
114,2020-04-24,114,5426.0,2863.0
115,2020-04-25,115,4602.0,2657.0
116,2020-04-26,116,4204.0,2604.0
117,2020-04-27,117,6355.0,3675.0
118,2020-04-28,118,6436.0,3059.0
119,2020-04-29,119,5940.0,2721.0
120,2020-04-30,120,5973.0,2763.0
121,2020-05-01,121,6301.0,3404.0
122,2020-05-02,122,4087.0,2516.0
123,2020-05-03,123,3848.0,2433.0
124,2020-05-04,124,6145.0,3324.0
125,2020-05-05,125,6116.0,2889.0
126,2020-05-06,126,6051.0,2870.0
127,2020-05-07,127,5986.0,2599.0
128,2020-05-08,128,5554.0,2805.0
129,2020-05-09,129,4207.0,2581.0
130,2020-05-10,130,4032.0,2779.0
131,2020-05-11,131,6756.0,3609.0
132,2020-05-12,132,6204.0,3224.0
133,2020-05-13,133,6426.0,3079.0
134,2020-05-14,134,6043.0,2926.0
135,2020-05-15,135,6516.0,3087.0
136,2020-05-16,136,4257.0,2604.0
137,2020-05-17,137,4361.0,2601.0
138,2020-05-18,138,7518.0,3728.0
139,2020-05-19,139,6685.0,3047.0
140,2020-05-20,140,6859.0,3185.0
141,2020-05-21,141,6687.0,2601.0
142,2020-05-22,142,6146.0,2710.0
143,2020-05-23,143,4056.0,2374.0
144,2020-05-24,144,3775.0,2170.0
145,2020-05-25,145,5181.0,3140.0
146,2020-05-26,146,7623.0,3292.0
147,2020-05-27,147,6965.0,3242.0
148,2020-05-28,148,6045.0,3094.0
149,2020-05-29,149,6230.0,3058.0
150,2020-05-30,150,4267.0,2731.0
151,2020-05-31,151,3903.0,2532.0
152,2020-06-01,152,7113.0,4499.0
153,2020-06-02,153,6807.0,3543.0
154,2020-06-03,154,6918.0,3785.0
155,2020-06-04,155,6489.0,3393.0
156,2020-06-05,156,6610.0,3597.0
157,2020-06-06,157,4899.0,3337.0
158,2020-06-07,158,4331.0,3191.0
