,date,time_passed,SumofNewI,SumofNewY
0,2020-01-01,0,69.0,49.0
1,2020-01-02,1,35.0,22.0
2,2020-01-03,2,37.0,26.0
3,2020-01-04,3,67.0,21.0
4,2020-01-05,4,53.0,20.0
5,2020-01-06,5,41.0,15.0
6,2020-01-07,6,23.0,16.0
7,2020-01-08,7,22.0,8.0
8,2020-01-09,8,11.0,9.0
9,2020-01-10,9,20.0,13.0
10,2020-01-11,10,12.0,10.0
11,2020-01-12,11,12.0,7.0
12,2020-01-13,12,11.0,6.0
13,2020-01-14,13,40.0,14.0
14,2020-01-15,14,15.0,8.0
15,2020-01-16,15,7.0,4.0
16,2020-01-17,16,8.0,6.0
17,2020-01-18,17,10.0,8.0
18,2020-01-19,18,13.0,7.0
19,2020-01-20,19,12.0,12.0
20,2020-01-21,20,28.0,6.0
21,2020-01-22,21,11.0,7.0
22,2020-01-23,22,15.0,10.0
23,2020-01-24,23,10.0,5.0
24,2020-01-25,24,8.0,6.0
25,2020-01-26,25,13.0,7.0
26,2020-01-27,26,19.0,12.0
27,2020-01-28,27,18.0,12.0
28,2020-01-29,28,9.0,7.0
29,2020-01-30,29,16.0,14.0
30,2020-01-31,30,16.0,12.0
31,2020-02-01,31,58.0,38.0
32,2020-02-02,32,14.0,9.0
33,2020-02-03,33,35.0,17.0
34,2020-02-04,34,51.0,4.0
35,2020-02-05,35,32.0,16.0
36,2020-02-06,36,33.0,17.0
37,2020-02-07,37,25.0,5.0
38,2020-02-08,38,15.0,6.0
39,2020-02-09,39,11.0,7.0
40,2020-02-10,40,50.0,33.0
41,2020-02-11,41,56.0,21.0
42,2020-02-12,42,33.0,19.0
43,2020-02-13,43,35.0,16.0
44,2020-02-14,44,34.0,24.0
45,2020-02-15,45,45.0,38.0
46,2020-02-16,46,21.0,14.0
47,2020-02-17,47,47.0,34.0
48,2020-02-18,48,81.0,30.0
49,2020-02-19,49,43.0,23.0
50,2020-02-20,50,90.0,58.0
51,2020-02-21,51,68.0,44.0
52,2020-02-22,52,60.0,44.0
53,2020-02-23,53,60.0,50.0
54,2020-02-24,54,104.0,83.0
55,2020-02-25,55,132.0,74.0
56,2020-02-26,56,128.0,105.0
57,2020-02-27,57,117.0,81.0
58,2020-02-28,58,179.0,145.0
59,2020-02-29,59,141.0,111.0
60,2020-03-01,60,423.0,410.0
61,2020-03-02,61,318.0,271.0
62,2020-03-03,62,355.0,306.0
63,2020-03-04,63,367.0,318.0
64,2020-03-05,64,418.0,370.0
65,2020-03-06,65,478.0,427.0
66,2020-03-07,66,472.0,420.0
67,2020-03-08,67,610.0,567.0
68,2020-03-09,68,955.0,869.0
69,2020-03-10,69,1212.0,1096.0
70,2020-03-11,70,1161.0,1044.0
71,2020-03-12,71,1482.0,1287.0
72,2020-03-13,72,2151.0,1801.0
73,2020-03-14,73,2129.0,1825.0
74,2020-03-15,74,2914.0,2436.0
75,2020-03-16,75,3818.0,2926.0
76,2020-03-17,76,4028.0,2927.0
77,2020-03-18,77,4601.0,3217.0
78,2020-03-19,78,4438.0,2802.0
79,2020-03-20,79,5624.0,3776.0
80,2020-03-21,80,4321.0,2915.0
81,2020-03-22,81,4382.0,2943.0
82,2020-03-23,82,6544.0,4199.0
83,2020-03-24,83,6142.0,3448.0
84,2020-03-25,84,6852.0,3876.0
